grid_uid,grid_id,lon,lat,is_land,province_code_before,province_name_zh_before,province_code_after,province_name_zh_after,province_assignment_method,distance_to_assigned_province_polygon_km,audit_source_sha256
G000030513,30513,111.25,33.0,1,41,河南,42,湖北,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000031004,31004,93.5,32.5,1,63,青海,54,西藏,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000031292,31292,95.25,32.25,1,63,青海,54,西藏,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000031345,31345,108.5,32.25,1,51,四川,61,陕西,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000031931,31931,114.5,31.75,1,41,河南,42,湖北,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000033082,33082,121.25,30.75,1,31,上海,33,浙江,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000033312,33312,108.5,30.5,1,50,重庆,42,湖北,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000033483,33483,81.0,30.25,1,33,浙江,54,西藏,nearest_dissolved_province_polygon_within_100km,1.7438282069263875,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000033588,33588,107.25,30.25,1,51,四川,50,重庆,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000033623,33623,116.0,30.25,1,34,安徽,42,湖北,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000034185,34185,116.0,29.75,1,36,江西,42,湖北,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000034454,34454,113.0,29.5,1,43,湖南,42,湖北,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000034618,34618,83.75,29.25,1,33,浙江,54,西藏,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000035543,35543,104.25,28.5,1,51,四川,53,云南,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000035881,35881,118.5,28.25,1,33,浙江,35,福建,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000036438,36438,117.25,27.75,1,35,福建,36,江西,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000037499,37499,101.5,26.75,1,53,云南,51,四川,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000038374,38374,109.5,26.0,1,43,湖南,45,广西,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000038377,38377,110.25,26.0,1,45,广西,43,湖南,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000038962,38962,116.0,25.5,1,35,福建,36,江西,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000039789,39789,112.0,24.75,1,45,广西,43,湖南,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000040070,40070,112.0,24.5,1,45,广西,44,广东,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000043120,43120,101.75,21.75,1,44,广东,53,云南,nearest_dissolved_province_polygon_within_100km,0.3824268156042769,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000043681,43681,101.5,21.25,1,45,广西,53,云南,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
G000044276,44276,109.75,20.75,1,45,广西,44,广东,point_centroid_within_dissolved_province_polygon,0.0,6d7d7563e9ff434d75c1725d8d3ab1508480643873b82fb9a87fcdda65e17e28
