intra_edge_id,province_code,from_load_center_id,to_load_center_id,distance_km,technology,reference_capacity_gw,unit_cost_yuan_per_kw,initial_capacity_gw,candidate_method,distance_validity,initial_capacity_method
INTRA_13_LC_156130100_LC_156130400,13,LC_156130100,LC_156130400,168.5720990125229,AC_500kV,2.6345412037165,327.92138212348476,4.154344164797831,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130100_LC_156130500,13,LC_156130100,LC_156130500,101.0441617338075,AC_500kV,2.983539153110427,248.40944740046405,2.836499923724557,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130100_LC_156130600,13,LC_156130100,LC_156130600,120.8794168952725,AC_500kV,2.874452906396377,270.0199648404028,11.28589569957113,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130100_LC_156131100,13,LC_156130100,LC_156131100,111.02315427805497,AC_500kV,2.9279397961240394,259.10490232144383,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130200_LC_156130300,13,LC_156130200,LC_156130300,103.31927994728392,AC_500kV,2.97073292686385,250.81670172847902,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130200_LC_156130800,13,LC_156130200,LC_156130800,154.90023841851252,AC_500kV,2.7002352136098184,310.44481760838335,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130200_LC_156131000,13,LC_156130200,LC_156131000,137.37314368537724,AC_500kV,2.7880220836981624,289.0797082813419,5.372807290824332,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130300_LC_156130800,13,LC_156130300,LC_156130800,178.8028560325521,AC_500kV,2.586920008116695,341.47164135144146,13.867159608384432,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130300_LC_156131000,13,LC_156130300,LC_156131000,240.3943611980238,AC_500kV,2.326044442464037,431.8413533193251,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130400_LC_156130500,13,LC_156130400,LC_156130500,72.09993866875699,AC_500kV,2.9894425249184033,222.67201794278145,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130400_LC_156131100,13,LC_156130400,LC_156131100,170.79424057119587,AC_500kV,2.6240874184424436,330.8299443604634,1.2880203618026957,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130500_LC_156131100,13,LC_156130500,LC_156131100,107.78981223367207,AC_500kV,2.945793575167353,255.60049050814018,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130600_LC_156130700,13,LC_156130600,LC_156130700,198.3832956805961,AC_500kV,2.4993116758453886,368.5504556948153,13.623635034189018,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130600_LC_156130900,13,LC_156130600,LC_156130900,125.61928872213463,AC_500kV,2.849225759044339,275.39475081036375,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130600_LC_156131000,13,LC_156130600,LC_156131000,124.35219235296131,AC_500kV,2.855938567495258,273.94987726565057,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130700_LC_156130800,13,LC_156130700,LC_156130800,246.09153761235282,AC_500kV,2.3040021513974227,440.9796235444341,4.955767456346754,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130700_LC_156131000,13,LC_156130700,LC_156131000,199.83384748491173,AC_500kV,2.4930010898012416,370.6169782349464,10.405456002071585,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130800_LC_156131000,13,LC_156130800,LC_156131000,205.35808327331912,AC_500kV,2.4691895833444897,378.5640802547177,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130900_LC_156131000,13,LC_156130900,LC_156131000,126.76424641541651,AC_500kV,2.8431794279961586,276.7054136089338,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_13_LC_156130900_LC_156131100,13,LC_156130900,LC_156131100,99.17847452605243,AC_500kV,2.9894425249184033,246.58528406761226,2.1378314374643814,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140100_LC_156140300,14,LC_156140100,LC_156140300,92.76031290568642,AC_500kV,2.9894425249184033,240.91735550349688,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140100_LC_156140600,14,LC_156140100,LC_156140600,189.31770408045818,AC_500kV,2.53930726543262,355.8248370632923,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140100_LC_156140700,14,LC_156140100,LC_156140700,54.94646968185596,AC_500kV,2.9894425249184033,207.52365574884539,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140100_LC_156140900,14,LC_156140100,LC_156140900,104.12224098178505,AC_500kV,2.9662316614914626,251.6706837367172,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
