load_center_id,province_code,province_name_en,province_name_zh,city_name_zh,source_city_code,lon,lat,annual_demand_share_in_province,annual_city_power_mwh,electricity_weight_method,center_method,load_center_method,demand_share_source,scenario_status,annual_city_power_share_in_province,monthly_weight_mean,city_area_km2,county_count,urban_population,total_population,electricity_weight_year,population_source_note,substation_count_220kv_plus,voltage_weighted_substation_units,maximum_substation_voltage_kv,substations_per_10000_km2,voltage_weighted_units_per_10000_km2,substation_count_share_in_province,voltage_weight_share_in_province,substation_density_role
LC_156110000,11,Beijing,北京,北京,156110000,116.36795220903856,39.9654826614786,1.0,1277.0501854142592,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,1.0,1.0,16421.422125280147,16,19166433.0,21893095.0,2022,county urban population field; source year follows local population shapefile metadata,48.0,58.18181818181819,500.0,29.230111517629062,35.43043820318675,1.0,1.0,validation_and_sensitivity_only_not_primary_load_weight
LC_156120000,12,Tianjin,天津,天津,156120000,117.27904058308948,39.128935998908695,1.0,1071.068893883676,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,1.0,1.0,11942.55798954398,16,11744440.0,13866009.0,2022,county urban population field; source year follows local population shapefile metadata,76.0,93.54545454545456,1000.0,63.63795768589943,78.32949576410348,1.0,1.0,validation_and_sensitivity_only_not_primary_load_weight
LC_156130100,13,Hebei,河北,石家庄,156130100,114.57378817695226,38.06675145712464,0.1214223407724374,564.0065035380544,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.1214223407724374,0.1214174681707542,14058.974216421782,22,7531487.0,10874264.0,2022,county urban population field; source year follows local population shapefile metadata,10.0,13.818181818181818,500.0,7.112894472997439,9.828726908141917,0.0273972602739726,0.0297049052179011,validation_and_sensitivity_only_not_primary_load_weight
LC_156130200,13,Hebei,河北,唐山,156130200,118.27495798784022,39.72014804389376,0.1174016734992717,545.330512973204,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.1174016734992717,0.1173533809773346,13777.304041481391,14,4713666.0,7353734.0,2022,county urban population field; source year follows local population shapefile metadata,30.0,45.27272727272727,500.0,21.77494225987501,32.86036741035684,0.0821917808219178,0.0973226499902286,validation_and_sensitivity_only_not_primary_load_weight
LC_156130300,13,Hebei,河北,秦皇岛,156130300,119.42879253660148,40.00108938525901,0.1938146009427676,900.2683914422391,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.1938146009427676,0.1938792245449062,7771.763068385477,7,1807500.0,2864249.0,2022,county urban population field; source year follows local population shapefile metadata,4.0,6.545454545454546,500.0,5.14683729393589,8.422097390076912,0.010958904109589,0.0140707445769005,validation_and_sensitivity_only_not_primary_load_weight
LC_156130400,13,Hebei,河北,邯郸,156130400,114.5809765859598,36.55075902312293,0.0990705583623563,460.1825238259544,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0990705583623563,0.0990911810234415,12101.94591366341,18,5143108.0,8834074.0,2022,county urban population field; source year follows local population shapefile metadata,3.0,4.272727272727273,500.0,2.47894018152314,3.530611773684473,0.0082191780821917,0.0091850693765878,validation_and_sensitivity_only_not_primary_load_weight
LC_156130500,13,Hebei,河北,邢台,156130500,114.7978064038358,37.17553144260391,0.078126157661492,362.8958290311863,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.078126157661492,0.078072503340727,12434.247144096296,18,3737361.0,6928521.0,2022,county urban population field; source year follows local population shapefile metadata,4.0,11.363636363636363,1000.0,3.216921743347506,9.138982225419053,0.010958904109589,0.0244283760015634,validation_and_sensitivity_only_not_primary_load_weight
LC_156130600,13,Hebei,河北,保定,156130600,115.44365144605536,38.91424203534381,0.0977409340716885,454.0064219452942,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0977409340716885,0.0977897816964673,22186.891474968623,24,6215228.0,11294603.0,2022,county urban population field; source year follows local population shapefile metadata,37.0,44.36363636363637,1000.0,16.676513716102864,19.99542676525356,0.1013698630136986,0.0953683799101035,validation_and_sensitivity_only_not_primary_load_weight
LC_156130700,13,Hebei,河北,张家口,156130700,114.9797919688946,40.6623843754406,0.0465645631507392,216.29229254149712,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0465645631507392,0.0465818279373918,36767.75135378602,16,2491667.0,3838070.0,2022,county urban population field; source year follows local population shapefile metadata,68.0,85.54545454545455,1000.0,18.49446797703008,23.266436318696936,0.1863013698630137,0.1838968145397694,validation_and_sensitivity_only_not_primary_load_weight
LC_156130800,13,Hebei,河北,承德,156130800,117.85503034599331,41.07599825770102,0.0471103972000645,218.82769048979503,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0471103972000645,0.0471231671432377,39460.63966423088,11,1790742.0,3219069.0,2022,county urban population field; source year follows local population shapefile metadata,43.0,54.18181818181819,1000.0,10.896934354304795,13.730598044747694,0.1178082191780822,0.1164744967754543,validation_and_sensitivity_only_not_primary_load_weight
