technology,year,capex_yuan_per_kw,capex_2025_cny_per_kw_reporting,annualized_capex_active_yuan_per_kw_year,annualized_capex_2025_cny_per_kw_year_reporting
battery,2030,3300.00000000,3313.21320000,371.52952184,373.01712605
battery,2040,3040.00000000,3052.17216000,342.25749891,343.62789793
battery,2050,2760.00000000,2771.05104000,310.73378190,311.97795997
battery,2060,2400.00000000,2409.60960000,270.20328861,271.28518258
bio,2030,4700.00000000,4718.81880000,394.08755963,395.66548622
bio,2040,3800.00000000,3815.21520000,318.62398439,319.89975482
bio,2050,3800.00000000,3815.21520000,318.62398439,319.89975482
bio,2060,3800.00000000,3815.21520000,318.62398439,319.89975482
bioccs,2030,11900.00000000,11947.64760000,997.79616163,1001.79133746
bioccs,2040,9650.00000000,9688.63860000,809.13722350,812.37700895
bioccs,2050,7800.00000000,7831.23120000,654.01765216,656.63633884
bioccs,2060,7800.00000000,7831.23120000,654.01765216,656.63633884
cchp,2030,3800.00000000,3815.21520000,298.36218271,299.55682489
cchp,2040,3800.00000000,3815.21520000,298.36218271,299.55682489
cchp,2050,3750.00000000,3765.01500000,294.43636451,295.61528772
cchp,2060,3750.00000000,3765.01500000,294.43636451,295.61528772
cchpccs,2030,6900.00000000,6927.62760000,541.76291070,543.93212940
cchpccs,2040,6900.00000000,6927.62760000,541.76291070,543.93212940
cchpccs,2050,6150.00000000,6174.62460000,482.87563780,484.80907185
cchpccs,2060,6000.00000000,6024.02400000,471.09818322,472.98446035
coal,2030,3800.00000000,3815.21520000,298.36218271,299.55682489
coal,2040,3800.00000000,3815.21520000,298.36218271,299.55682489
coal,2050,3750.00000000,3765.01500000,294.43636451,295.61528772
coal,2060,3750.00000000,3765.01500000,294.43636451,295.61528772
coalccs,2030,6900.00000000,6927.62760000,541.76291070,543.93212940
coalccs,2040,6900.00000000,6927.62760000,541.76291070,543.93212940
coalccs,2050,6150.00000000,6174.62460000,482.87563780,484.80907185
coalccs,2060,6000.00000000,6024.02400000,471.09818322,472.98446035
csp,2030,12000.00000000,12048.04800000,1067.10123891,1071.37391227
csp,2040,11500.00000000,11546.04600000,1022.63868729,1026.73333259
csp,2050,10700.00000000,10742.84280000,951.49860469,955.30840511
csp,2060,10000.00000000,10040.04000000,889.25103242,892.81159356
dpv,2030,2650.00000000,2660.61060000,235.65152359,236.59507229
dpv,2040,2400.00000000,2409.60960000,213.42024778,214.27478245
dpv,2050,2240.00000000,2248.96896000,199.19223126,199.98979696
dpv,2060,2240.00000000,2248.96896000,199.19223126,199.98979696
gas,2030,3800.00000000,3815.21520000,318.62398439,319.89975482
gas,2040,3800.00000000,3815.21520000,318.62398439,319.89975482
gas,2050,3800.00000000,3815.21520000,318.62398439,319.89975482
gas,2060,3800.00000000,3815.21520000,318.62398439,319.89975482
gasccs,2030,6250.00000000,6275.02500000,524.05260590,526.15091253
gasccs,2040,6200.00000000,6224.82480000,519.86018505,521.94170523
gasccs,2050,6200.00000000,6224.82480000,519.86018505,521.94170523
gasccs,2060,6200.00000000,6224.82480000,519.86018505,521.94170523
gchp,2030,3800.00000000,3815.21520000,318.62398439,319.89975482
gchp,2040,3800.00000000,3815.21520000,318.62398439,319.89975482
gchp,2050,3800.00000000,3815.21520000,318.62398439,319.89975482
gchp,2060,3800.00000000,3815.21520000,318.62398439,319.89975482
gchpccs,2030,6250.00000000,6275.02500000,524.05260590,526.15091253
gchpccs,2040,6200.00000000,6224.82480000,519.86018505,521.94170523
gchpccs,2050,6200.00000000,6224.82480000,519.86018505,521.94170523
gchpccs,2060,6200.00000000,6224.82480000,519.86018505,521.94170523
hydro,2030,13319.00000000,13372.32927600,1045.75945038,1049.94667122
hydro,2040,13319.00000000,13372.32927600,1045.75945038,1049.94667122
hydro,2050,13319.00000000,13372.32927600,1045.75945038,1049.94667122
hydro,2060,13319.00000000,13372.32927600,1045.75945038,1049.94667122
nuclear,2030,19300.00000000,19377.27720000,1448.17860895,1453.97711610
nuclear,2040,18300.00000000,18373.27320000,1373.14344787,1378.64151423
nuclear,2050,17250.00000000,17319.06900000,1294.35652873,1299.53913227
nuclear,2060,16250.00000000,16315.06500000,1219.32136764,1224.20353040
offwind,2030,9800.00000000,9839.23920000,871.46601178,874.95536169
offwind,2040,8650.00000000,8684.63460000,769.20214305,772.28202843
offwind,2050,8200.00000000,8232.83280000,729.18584659,732.10550672
offwind,2060,7500.00000000,7530.03000000,666.93827432,669.60869517
onwind,2030,5500.00000000,5522.02200000,489.08806783,491.04637646
onwind,2040,4500.00000000,4518.01800000,400.16296459,401.76521710
onwind,2050,4500.00000000,4518.01800000,400.16296459,401.76521710
onwind,2060,4200.00000000,4216.81680000,373.48543362,374.98086929
phs,2030,5260.00000000,5281.06104000,412.99607396,414.64971024
phs,2040,4740.00000000,4758.97896000,372.16756474,373.65772367
phs,2050,4740.00000000,4758.97896000,372.16756474,373.65772367
phs,2060,4240.00000000,4256.97696000,332.90938281,334.24235198
upv,2030,2250.00000000,2259.00900000,200.08148230,200.88260855
upv,2040,1920.00000000,1927.68768000,170.73619823,171.41982596
upv,2050,1760.00000000,1767.04704000,156.50818171,157.13484047
upv,2060,1500.00000000,1506.00600000,133.38765486,133.92173903
