technology,year,active_capex_yuan_per_kw,capex_yuan_per_kw
dpv,2030,2650.0,2660.6105999999995
dpv,2040,2400.0,2409.6096
dpv,2050,2240.0,2248.9689599999997
dpv,2060,2240.0,2248.9689599999997
offwind,2030,9800.0,9839.239199999998
offwind,2040,8650.0,8684.6346
offwind,2050,8200.0,8232.832799999998
offwind,2060,7500.0,7530.029999999999
onwind,2030,5500.0,5522.021999999999
onwind,2040,4500.0,4518.017999999999
onwind,2050,4500.0,4518.017999999999
onwind,2060,4200.0,4216.8168
upv,2030,2250.0,2259.0089999999996
upv,2040,1920.0,1927.6876799999998
upv,2050,1760.0,1767.04704
upv,2060,1500.0,1506.0059999999999
