technology,year,active_capex_yuan_per_kw,capex_yuan_per_kw
bio,2030,4700.0,4718.818799999999
bio,2040,3800.0,3815.2151999999996
bio,2050,3800.0,3815.2151999999996
bio,2060,3800.0,3815.2151999999996
bioccs,2030,11900.0,11947.647599999998
bioccs,2040,9650.0,9688.638599999998
bioccs,2050,7800.0,7831.231199999999
bioccs,2060,7800.0,7831.231199999999
coal,2030,3800.0,3815.2151999999996
coal,2040,3800.0,3815.2151999999996
coal,2050,3750.0,3765.0149999999994
coal,2060,3750.0,3765.0149999999994
coalccs,2030,6900.0,6927.627599999999
coalccs,2040,6900.0,6927.627599999999
coalccs,2050,6150.0,6174.624599999999
coalccs,2060,6000.0,6024.023999999999
gas,2030,3800.0,3815.2151999999996
gas,2040,3800.0,3815.2151999999996
gas,2050,3800.0,3815.2151999999996
gas,2060,3800.0,3815.2151999999996
gasccs,2030,6250.0,6275.025
gasccs,2040,6200.0,6224.824799999999
gasccs,2050,6200.0,6224.824799999999
gasccs,2060,6200.0,6224.824799999999
hydro,2030,13319.0,13372.329275999999
hydro,2040,13319.0,13372.329275999999
hydro,2050,13319.0,13372.329275999999
hydro,2060,13319.0,13372.329275999999
nuclear,2030,19300.0,19377.277199999997
nuclear,2040,18300.0,18373.2732
nuclear,2050,17250.0,17319.069
nuclear,2060,16250.0,16315.064999999999
