section,parameter,candidate_final_value,unit,implementation_file,decision
capex,onwind_capex_2030,5522.022,2025 CNY/kW,candidate_inputs/technology_capex_by_year_2025_candidate.csv,KEEP_AND_REBASE
capex,offwind_capex_2030,9839.239,2025 CNY/kW,candidate_inputs/technology_capex_by_year_2025_candidate.csv,KEEP_AND_REBASE
capex,upv_capex_2030,2259.009,2025 CNY/kW,candidate_inputs/technology_capex_by_year_2025_candidate.csv,KEEP_AND_REBASE
capex,dpv_capex_2030,2660.611,2025 CNY/kW,candidate_inputs/technology_capex_by_year_2025_candidate.csv,KEEP_AND_REBASE
capex,battery_capex_2030_4h,3313.213,2025 CNY/kW,candidate_inputs/technology_capex_by_year_2025_candidate.csv,KEEP_AND_REBASE
capex,phs_capex_2030_8h,5281.061,2025 CNY/kW,candidate_inputs/technology_capex_by_year_2025_candidate.csv,KEEP_AND_REBASE
capex,nuclear_capex_2030,19377.277,2025 CNY/kW,candidate_inputs/technology_capex_by_year_2025_candidate.csv,KEEP_AND_REBASE
capex,hydro_capex_2030,13372.329,2025 CNY/kW,candidate_inputs/technology_capex_by_year_2025_candidate.csv,KEEP_AND_REBASE
fuel,coal_provincial_price,median 39.357; range 17.143-49.500,2025 CNY/GJ,candidate_inputs/province_fuel_prices_2025_candidate.csv,CHANGE_RECOMMENDED_REQUIRES_APPROVAL
fuel,gas_provincial_price,median 69.786; range 48.643-75.572,2025 CNY/GJ,candidate_inputs/province_fuel_prices_2025_candidate.csv,CHANGE_RECOMMENDED_REQUIRES_APPROVAL
fuel,biomass_provincial_price,median 34.429; range 32.072-38.643,2025 CNY/GJ,candidate_inputs/province_fuel_prices_2025_candidate.csv,CHANGE_RECOMMENDED_REQUIRES_APPROVAL
finance,real_wacc_fraction,0.074,fraction,candidate_inputs/other_parameter_values_2025_candidate.csv,KEEP_AFTER_REVIEW
ccs,capture_cost,261.041,2025 CNY/tCO2,candidate_inputs/other_parameter_values_2025_candidate.csv,KEEP_AFTER_REVIEW
ccs,transport_cost,0.185715,2025 CNY/tCO2/km,candidate_inputs/other_parameter_values_2025_candidate.csv,CHANGE_RECOMMENDED_REQUIRES_APPROVAL
ccs,storage_cost,35.7145,2025 CNY/tCO2,candidate_inputs/other_parameter_values_2025_candidate.csv,CHANGE_RECOMMENDED_REQUIRES_APPROVAL
storage,battery.duration_h,4,h,candidate_inputs/other_parameter_values_2025_candidate.csv,KEEP_AFTER_REVIEW
storage,battery.round_trip_efficiency,0.9025,fraction,candidate_inputs/other_parameter_values_2025_candidate.csv,KEEP_AFTER_REVIEW
storage,phs.duration_h,8,h,candidate_inputs/other_parameter_values_2025_candidate.csv,KEEP_AFTER_REVIEW
storage,phs.round_trip_efficiency,0.7744,fraction,candidate_inputs/other_parameter_values_2025_candidate.csv,KEEP_AFTER_REVIEW
wave,reference_case_enabled,false,boolean,scenario boundary,CHANGE_RECOMMENDED_REQUIRES_APPROVAL
