technology,pmin_fraction,pmax_fraction,min_up_h,min_down_h,startup_yuan_per_mw,shutdown_yuan_per_mw,inertia_s,ramp_fraction_per_h,fuel_load_mj_per_kwh,ccs_power_loss_fraction,source_page,source_document,fixed_om_fraction_capex_per_year,variable_om_yuan_per_mwh,new_cohort_lifetime_years,existing_fleet_retirement_lifetime_years,lifetime_boundary_note,variable_om_2025_cny_per_mwh_reporting,startup_2025_cny_per_mw_reporting,shutdown_2025_cny_per_mw_reporting
bio,0.35000000,1.00000000,8,8,500,500,2.94000000,0.25000000,9.00000000,0.00000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02000000,35,30,40,existing_fleet_uses_40_year_retirement; new_cohort_uses_config_lifetime,35.14014000,502.00200000,502.00200000
bioccs,0.35000000,1.00000000,8,8,500,500,2.94000000,0.25000000,10.30000000,0.05000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02500000,60,30,40,existing_fleet_uses_40_year_retirement; new_cohort_uses_config_lifetime,60.24024000,502.00200000,502.00200000
coal,0.40000000,1.00000000,8,8,1100,1100,5.89000000,0.25000000,9.00000000,0.00000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02000000,31,40,40,symmetric_existing_and_new,31.12412400,1104.40440000,1104.40440000
coalccs,0.40000000,1.00000000,8,8,1100,1100,5.89000000,0.25000000,11.25000000,0.05000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02500000,58,40,40,symmetric_existing_and_new,58.23223200,1104.40440000,1104.40440000
cchp,0.60000000,0.90000000,8,8,1100,1100,5.89000000,0.25000000,9.47000000,0.00000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02000000,31,40,40,symmetric_existing_and_new,31.12412400,1104.40440000,1104.40440000
cchpccs,0.60000000,0.90000000,8,8,1100,1100,5.89000000,0.25000000,11.25000000,0.05000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02500000,58,40,40,symmetric_existing_and_new,58.23223200,1104.40440000,1104.40440000
gas,0.30000000,1.00000000,4,2,300,300,4.97000000,0.50000000,6.31000000,0.00000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02000000,23,30,40,existing_fleet_uses_40_year_retirement; new_cohort_uses_config_lifetime,23.09209200,301.20120000,301.20120000
gasccs,0.30000000,1.00000000,4,2,300,300,4.97000000,0.50000000,7.83000000,0.05000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02500000,46,30,40,existing_fleet_uses_40_year_retirement; new_cohort_uses_config_lifetime,46.18418400,301.20120000,301.20120000
gchp,0.30000000,1.00000000,4,2,300,300,4.97000000,0.50000000,6.31000000,0.00000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02000000,23,30,40,existing_fleet_uses_40_year_retirement; new_cohort_uses_config_lifetime,23.09209200,301.20120000,301.20120000
gchpccs,0.30000000,1.00000000,4,2,300,300,4.97000000,0.50000000,7.83000000,0.05000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.02500000,46,30,40,existing_fleet_uses_40_year_retirement; new_cohort_uses_config_lifetime,46.18418400,301.20120000,301.20120000
nuclear,0.85000000,1.00000000,22,22,2200,2200,4.07000000,0.05000000,10.00000000,0.00000000,59,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,0.01500000,14,60,40,existing_fleet_uses_40_year_retirement; new_cohort_uses_config_lifetime,14.05605600,2208.80880000,2208.80880000
